transaction_day,total_amount_withdrawn
3-04-23,360600
3-04-24,309300
3-04-25,282300
3-04-26,309600
3-04-27,475300
3-04-28,307000
3-04-29,310500
3-04-30,460800
3-05-01,355500
3-05-02,236800
3-05-03,575300
3-05-04,276500
3-05-05,572600
3-05-06,197500
3-05-07,210700
3-05-08,450400
3-05-09,348900
3-05-10,315400
3-05-11,338400
3-05-12,329000
3-05-13,423000
3-05-14,405000
3-05-15,357900
3-05-16,291200
3-05-17,169300
3-05-18,443200
3-05-19,321500
3-05-20,262300
3-05-21,425500
3-05-22,425400
3-05-23,327100
3-05-24,283000
3-05-25,136900
3-05-27,102500
3-05-28,191300
3-05-29,219200
3-05-30,289500
3-05-31,401400
3-06-01,431100
3-06-02,467400
3-06-03,328600
3-06-04,408100
3-06-05,288500
3-06-06,293400
3-06-07,209700
3-06-08,473500
3-06-09,379000
3-06-10,309600
3-06-11,484000
3-06-12,341500
3-06-13,325500
3-06-14,382900
3-06-15,421900
3-06-16,332700
3-06-17,387200
3-06-18,397300
3-06-19,344000
3-06-20,557700
3-06-21,268600
3-06-22,463800
3-06-23,179800
3-06-24,218800
3-06-25,196000
3-06-26,162100
3-06-27,346000
3-06-28,320800
3-06-29,407100
3-06-30,425600
3-07-01,273400
3-07-02,342500
3-07-03,426300
3-07-04,568600
3-07-05,375400
3-07-06,334300
3-07-07,531100
3-07-08,328400
3-07-09,509900
3-07-10,471700
3-07-11,357200
3-07-12,280600
3-07-13,285500
3-07-14,175200
3-07-15,341500
3-07-16,475300
3-07-17,517800
3-07-18,431200
3-07-19,484700
3-07-20,227200
3-07-21,379800
3-07-22,295800
3-07-23,218800
3-07-24,285600
3-07-25,272700
3-07-26,295200
3-07-27,199700
3-07-28,324400
3-07-29,297400
3-07-30,259700
3-07-31,240500
3-08-01,495900
3-08-02,586900
3-08-03,292900
3-08-04,373100
3-08-05,362800
3-08-06,292200
3-08-07,444300
3-08-08,363300
3-08-09,335700
3-08-10,439200
3-08-11,428000
3-08-12,338000
3-08-13,350600
3-08-14,608800
3-08-16,306200
3-08-17,180100
3-08-18,440600
3-08-19,460500
3-08-20,343800
3-08-21,291700
3-08-22,220800
3-08-23,265000
3-08-24,331400
3-08-25,334000
3-08-26,342300
3-08-27,304700
3-08-28,294600
3-08-29,191900
3-08-30,347500
3-08-31,396300
3-09-01,417800
3-09-02,312200
3-09-03,368500
3-09-04,344600
3-09-05,295100
3-09-06,377800
3-09-07,611700
3-09-08,479300
3-09-09,394200
3-09-10,480800
3-09-11,279800
3-09-12,415600
3-09-13,426700
3-09-14,362200
3-09-15,424200
3-09-16,187800
3-09-17,315700
3-09-18,275600
3-09-19,338300
3-09-20,160700
3-09-21,223800
3-09-22,261000
3-09-23,289600
3-09-24,319000
3-09-25,323900
3-09-26,283700
3-09-27,346900
3-09-28,462600
3-09-29,536200
3-09-30,371000
3-10-01,391300
3-10-02,436500
3-10-03,400000
3-10-04,366400
3-10-05,395200
3-10-06,474200
3-10-07,366400
3-10-08,509600
3-10-09,334900
3-10-10,446800
3-10-11,343900
3-10-12,451700
3-10-13,488800
3-10-14,622400
3-10-15,456800
3-10-16,234100
3-10-17,277900
