transaction_day,total_amount_withdrawn
12-04,158900
12-05,451300
12-06,682700
12-07,396800
12-08,278000
12-09,270300
12-10,368900
12-11,729700
12-12,515600
12-13,513000
12-14,565500
12-15,475100
12-16,557200
12-17,570300
12-18,436200
12-19,653500
12-20,797800
12-21,396400
12-22,467200
12-23,399000
12-24,663400
12-25,438700
12-26,430800
12-27,574100
12-28,271700
12-29,442300
12-30,512700
12-31,756900
01-01,398100
01-02,633400
01-03,1089600
01-04,529400
01-05,310700
01-06,466700
01-07,599200
01-08,568200
01-09,606000
01-10,956400
01-11,673300
01-12,329700
01-13,746600
01-14,589600
01-15,178400
01-16,208400
01-17,285200
01-18,274400
01-19,706600
01-20,381400
01-21,526000
01-22,514000
01-23,438800
01-24,592000
01-25,317100
01-26,290900
01-27,441000
01-28,571000
01-29,480100
01-30,490800
01-31,729500
02-01,638900
02-02,402200
02-03,671000
02-04,569700
02-05,495300
02-06,488200
02-07,1228000
02-08,514800
02-09,384300
02-10,480700
02-11,480500
02-12,656900
02-13,202400
02-14,645000
02-15,391200
02-16,436400
02-17,357700
02-18,511500
02-19,612000
02-20,431700
02-21,620400
02-22,328800
02-23,416900
02-24,496900
02-25,433700
02-26,469100
02-27,630500
02-28,736200
03-01,174400
03-02,617300
03-03,678000
03-04,883700
03-05,416600
03-06,554100
03-07,646600
03-08,551100
03-09,311900
03-10,761500
03-11,836800
03-12,505000
03-13,480200
03-14,488400
03-15,506300
03-16,848700
03-17,421800
03-18,666200
03-19,511100
03-20,456000
03-21,633400
03-22,376700
03-23,498900
03-24,588400
03-25,888000
03-26,532800
03-27,358100
03-28,421400
03-29,385000
03-30,528200
03-31,928900
04-01,839400
04-02,802700
04-03,28900
04-04,289700
04-05,606900
04-06,1073200
04-07,670300
04-08,821300
04-09,576000
04-10,603300
04-11,626700
04-12,372300
04-13,622000
04-14,381600
04-15,496400
04-16,613200
04-17,573200
04-18,768800
04-19,403400
04-20,624800
04-21,440600
04-22,543600
04-23,468700
04-24,324000
04-25,722400
04-26,399200
04-27,698500
04-28,762100
04-29,603800
04-30,704800
05-01,469400
05-02,725900
05-03,455500
05-04,806200
05-05,613300
05-06,747000
05-07,599200
05-08,670000
05-09,758600
05-10,432000
05-11,559800
05-12,604200
05-13,640200
05-14,18600
05-15,250300
05-16,563600
05-17,594500
05-18,670000
05-19,554400
05-20,736300
05-21,723700
05-22,614300
05-23,667500
05-24,541500
05-25,374400
05-26,350900
05-27,343500
05-28,283400
05-29,511000
05-30,329200
05-31,582100
06-01,393300
06-02,541600
06-03,576800
06-04,550000
06-05,553000
06-06,509600
06-07,620500
06-08,722600
06-09,724500
06-10,363800
06-11,495900
06-12,197200
06-13,649200
06-14,511100
06-15,303600
06-16,399100
06-17,315100
06-18,839300
06-19,269500
06-20,519800
06-21,324600
06-22,469400
06-23,497300
06-24,560600
06-25,229600
06-26,252800
06-27,496700
06-28,273900
06-29,551100
06-30,759700
07-01,765700
07-02,980300
07-03,422300
07-04,548700
07-05,610000
07-06,500
07-07,213800
07-08,390000
07-09,627000
07-10,421400
07-11,665400
07-12,641100
07-13,715600
07-14,511300
07-15,653500
07-16,558900
07-17,533000
07-18,524500
07-19,372400
07-20,578500
07-21,389600
07-22,261700
07-23,355800
07-24,128600
07-25,185200
07-26,236800
07-27,590400
07-28,208600
07-29,427300
07-30,271400
07-31,434300
08-01,565100
08-02,422700
08-03,389300
08-04,182800
08-05,339800
08-06,336100
08-07,194000
08-08,400200
08-09,393800
08-10,400600
08-11,535700
08-12,304000
08-13,370200
08-14,60800
08-15,512600
08-16,464800
08-17,125700
08-18,162100
08-19,398700
08-20,89600
08-21,229300
08-22,272900
08-23,342500
08-24,497200
08-25,200100
08-26,416700
08-27,369200
08-28,474800
08-29,335900
08-30,103300
08-31,262900
09-01,507500
09-02,429900
09-03,568200
09-04,362100
09-05,496000
09-06,258400
09-07,329400
09-08,293600
09-09,187800
09-10,105300
09-11,226200
09-12,246900
09-13,156500
09-14,509900
09-15,343400
09-16,362400
09-17,177200
09-18,179600
09-19,506700
09-20,284600
09-21,270800
09-22,456100
09-23,485300
09-24,373600
09-25,155200
09-26,266400
09-27,92000
09-28,505800
09-29,395300
09-30,358800
10-01,289500
10-03,62200
10-04,71700
10-05,59400
10-06,73100
10-07,173900
10-08,11800
10-09,31600
10-10,265100
10-11,494700
10-12,61500
10-13,345500
10-14,390700
10-15,227400
10-16,162700
10-17,100
10-19,100
10-20,283500
10-21,216400
10-22,244700
10-23,283600
10-24,367500
10-25,77800
10-26,218400
10-27,462000
10-28,82100
10-29,347700
10-30,334700
10-31,217000
11-01,329500
11-02,501200
11-03,529000
11-04,520400
11-05,531200
11-06,268600
11-07,755500
11-08,292300
11-11,256000
11-12,228100
11-13,256300
11-14,542800
11-15,221600
11-16,25100
11-17,353300
11-18,190800
11-19,361800
11-20,380400
11-21,507200
11-22,103500
11-23,126700
11-24,267800
11-25,207500
11-26,449400
11-27,414300
11-28,505500
11-29,118500
11-30,752500
12-01,218300
12-06,330800
12-07,311500
12-08,922900
12-09,582400
12-10,553400
12-11,616200
12-12,312500
12-13,227900
12-14,404000
12-15,432200
12-16,230300
12-17,206100
12-18,383200
12-19,518900
12-20,389700
12-21,352800
12-22,249800
12-23,543200
12-24,99400
12-26,247400
12-27,320300
12-28,470600
12-29,290700
12-30,69600
12-31,76200
